,Kabupaten / Kota,Tahun,TPAK Perempuan
211,3373 Kota Salatiga,2019,57
212,3374 Kota Semarang,2019,57.43
213,3375 Kota Pekalongan,2019,62.14
214,3376 Kota Tegal,2019,58.17
215,3300 Provinsi Jawa Tengah,2019,55.35
216,3301 Kabupaten Cilacap,2020,52.45
217,3302 Kabupaten Banyumas,2020,51.74
218,3303 Kabupaten Purbalingga,2020,55.26
219,3304 Kabupaten Banjarnegara,2020,54.47
220,3305 Kabupaten Kebumen,2020,57.67
221,3306 Kabupaten Purworejo,2020,60.14
222,3307 Kabupaten Wonosobo,2020,58.18
223,3308 Kabupaten Magelang,2020,68.31
224,3309 Kabupaten Boyolali,2020,65.41
225,3310 Kabupaten Klaten,2020,56.59
226,3311 Kabupaten Sukoharjo,2020,57.99
227,3312 Kabupaten Wonogiri,2020,64.64
228,3313 Kabupaten Karanganyar,2020,63.42
229,3314 Kabupaten Sragen,2020,58.74
230,3315 Kabupaten Grobogan,2020,59.18
231,3316 Kabupaten Blora,2020,58.06
232,3317 Kabupaten Rembang,2020,51.17
233,3318 Kabupaten Pati,2020,52.02
234,3319 Kabupaten Kudus,2020,66.59
235,3320 Kabupaten Jepara,2020,56.66
236,3321 Kabupaten Demak,2020,56.52
237,3322 Kabupaten Semarang,2020,66.38
238,3323 Kabupaten Temanggung,2020,57.82
239,3324 Kabupaten Kendal,2020,58.64
240,3325 Kabupaten Batang,2020,53.24
241,3326 Kabupaten Pekalongan,2020,57.63
242,3327 Kabupaten Pemalang,2020,50.48
243,3328 Kabupaten Tegal,2020,51.25
244,3329 Kabupaten Brebes,2020,52.47
245,3371 Kota Magelang,2020,59.85
246,3372 Kota Surakarta,2020,59.04
247,3373 Kota Salatiga,2020,62.76
248,3374 Kota Semarang,2020,60.48
249,3375 Kota Pekalongan,2020,59.34
250,3376 Kota Tegal,2020,53.97
251,3300 Provinsi Jawa Tengah,2020,57.54
252,3301 Kabupaten Cilacap,2021,46.99
253,3302 Kabupaten Banyumas,2021,49.95
254,3303 Kabupaten Purbalingga,2021,55.42
255,3304 Kabupaten Banjarnegara,2021,54.61
256,3305 Kabupaten Kebumen,2021,55.59
257,3306 Kabupaten Purworejo,2021,62.57
258,3307 Kabupaten Wonosobo,2021,58.66
259,3308 Kabupaten Magelang,2021,66.4
260,3309 Kabupaten Boyolali,2021,65.93
261,3310 Kabupaten Klaten,2021,56.54
262,3311 Kabupaten Sukoharjo,2021,58.75
263,3312 Kabupaten Wonogiri,2021,63.58
264,3313 Kabupaten Karanganyar,2021,64.72
265,3314 Kabupaten Sragen,2021,62.41
266,3315 Kabupaten Grobogan,2021,61.13
267,3316 Kabupaten Blora,2021,57.49
268,3317 Kabupaten Rembang,2021,57.49
269,3318 Kabupaten Pati,2021,56.26
270,3319 Kabupaten Kudus,2021,67.86
271,3320 Kabupaten Jepara,2021,55.75
272,3321 Kabupaten Demak,2021,51.75
273,3322 Kabupaten Semarang,2021,63.29
274,3323 Kabupaten Temanggung,2021,61.88
275,3324 Kabupaten Kendal,2021,58.8
276,3325 Kabupaten Batang,2021,57.45
277,3326 Kabupaten Pekalongan,2021,58.33
278,3327 Kabupaten Pemalang,2021,52.14
279,3328 Kabupaten Tegal,2021,53.46
280,3329 Kabupaten Brebes,2021,50.57
281,3371 Kota Magelang,2021,59.98
282,3372 Kota Surakarta,2021,56.51
283,3373 Kota Salatiga,2021,64.14
284,3374 Kota Semarang,2021,59.42
285,3375 Kota Pekalongan,2021,65.93
286,3376 Kota Tegal,2021,55.63
287,3300 Provinsi Jawa Tengah,2021,57.58
288,3301 Kabupaten Cilacap,2022,49.83
289,3302 Kabupaten Banyumas,2022,47.91
290,3303 Kabupaten Purbalingga,2022,62.5
291,3304 Kabupaten Banjarnegara,2022,58.21
292,3305 Kabupaten Kebumen,2022,60.96
293,3306 Kabupaten Purworejo,2022,61.29
