,Kabupaten / Kota,Tahun,TPAK Laki-laki
229,3314 Kabupaten Sragen,2020,78.74
230,3315 Kabupaten Grobogan,2020,80.75
231,3316 Kabupaten Blora,2020,86.44
232,3317 Kabupaten Rembang,2020,79.46
233,3318 Kabupaten Pati,2020,76.74
234,3319 Kabupaten Kudus,2020,82.79
235,3320 Kabupaten Jepara,2020,83.4
236,3321 Kabupaten Demak,2020,83.53
237,3322 Kabupaten Semarang,2020,84.24
238,3323 Kabupaten Temanggung,2020,59.63
239,3324 Kabupaten Kendal,2020,82.04
240,3325 Kabupaten Batang,2020,86.48
241,3326 Kabupaten Pekalongan,2020,85.21
242,3327 Kabupaten Pemalang,2020,81.25
243,3328 Kabupaten Tegal,2020,82.24
244,3329 Kabupaten Brebes,2020,80.81
245,3371 Kota Magelang,2020,75.73
246,3372 Kota Surakarta,2020,79.37
247,3373 Kota Salatiga,2020,78.16
248,3374 Kota Semarang,2020,79.86
249,3375 Kota Pekalongan,2020,73.67
250,3376 Kota Tegal,2020,75.54
251,3300 Provinsi Jawa Tengah,2020,81.68
252,3301 Kabupaten Cilacap,2021,78.9
253,3302 Kabupaten Banyumas,2021,80.37
254,3303 Kabupaten Purbalingga,2021,84.17
255,3304 Kabupaten Banjarnegara,2021,84.93
256,3305 Kabupaten Kebumen,2021,80.22
257,3306 Kabupaten Purworejo,2021,84.49
258,3307 Kabupaten Wonosobo,2021,82.52
259,3308 Kabupaten Magelang,2021,85.14
260,3309 Kabupaten Boyolali,2021,86.13
261,3310 Kabupaten Klaten,2021,77.83
262,3311 Kabupaten Sukoharjo,2021,79.1
263,3312 Kabupaten Wonogiri,2021,83.35
264,3313 Kabupaten Karanganyar,2021,81.88
265,3314 Kabupaten Sragen,2021,81.64
266,3315 Kabupaten Grobogan,2021,85.05
267,3316 Kabupaten Blora,2021,84.23
268,3317 Kabupaten Rembang,2021,84.1
269,3318 Kabupaten Pati,2021,82.87
270,3319 Kabupaten Kudus,2021,82.01
271,3320 Kabupaten Jepara,2021,83.56
272,3321 Kabupaten Demak,2021,81.2
273,3322 Kabupaten Semarang,2021,85.5
274,3323 Kabupaten Temanggung,2021,86.14
275,3324 Kabupaten Kendal,2021,80.74
276,3325 Kabupaten Batang,2021,85.49
277,3326 Kabupaten Pekalongan,2021,84.94
278,3327 Kabupaten Pemalang,2021,80.19
279,3328 Kabupaten Tegal,2021,79.39
280,3329 Kabupaten Brebes,2021,77.33
281,3371 Kota Magelang,2021,74.48
282,3372 Kota Surakarta,2021,78.05
283,3373 Kota Salatiga,2021,76.97
284,3374 Kota Semarang,2021,79.99
285,3375 Kota Pekalongan,2021,85.76
286,3376 Kota Tegal,2021,81.31
287,3300 Provinsi Jawa Tengah,2021,81.94
288,3301 Kabupaten Cilacap,2022,81.54
289,3302 Kabupaten Banyumas,2022,81.78
290,3303 Kabupaten Purbalingga,2022,84.85
291,3304 Kabupaten Banjarnegara,2022,86.13
292,3305 Kabupaten Kebumen,2022,82.42
293,3306 Kabupaten Purworejo,2022,83.96
294,3307 Kabupaten Wonosobo,2022,87.88
295,3308 Kabupaten Magelang,2022,86.34
