,Kabupaten / Kota,Tahun,IDG
193,3313 Kabupaten Karanganyar,2020,38.11
194,3314 Kabupaten Sragen,2020,37.14
195,3315 Kabupaten Grobogan,2020,25.56
196,3316 Kabupaten Blora,2020,34.88
197,3317 Kabupaten Rembang,2020,31.78
198,3318 Kabupaten Pati,2020,31.36
199,3319 Kabupaten Kudus,2020,41.05
200,3320 Kabupaten Jepara,2020,23.66
201,3321 Kabupaten Demak,2020,38.74
202,3322 Kabupaten Semarang,2020,45.72
203,3323 Kabupaten Temanggung,2020,40.79
204,3324 Kabupaten Kendal,2020,35.27
205,3325 Kabupaten Batang,2020,28.43
206,3326 Kabupaten Pekalongan,2020,26.29
207,3327 Kabupaten Pemalang,2020,35.22
208,3328 Kabupaten Tegal,2020,29.08
209,3329 Kabupaten Brebes,2020,25.2
210,3371 Kota Magelang,2020,41.97
211,3372 Kota Surakarta,2020,44.07
212,3373 Kota Salatiga,2020,41.42
213,3374 Kota Semarang,2020,37.13
214,3375 Kota Pekalongan,2020,28.5
215,3376 Kota Tegal,2020,30.62
216,3300 PROVINSI JAWA TENGAH,2021,34.6
217,3301 Kabupaten Cilacap,2021,26.83
218,3302 Kabupaten Banyumas,2021,30.67
219,3303 Kabupaten Purbalingga,2021,30.61
220,3304 Kabupaten Banjarnegara,2021,29.4
221,3305 Kabupaten Kebumen,2021,25.83
222,3306 Kabupaten Purworejo,2021,34.33
223,3307 Kabupaten Wonosobo,2021,24.31
224,3308 Kabupaten Magelang,2021,37.82
225,3309 Kabupaten Boyolali,2021,40.97
226,3310 Kabupaten Klaten,2021,37.78
227,3311 Kabupaten Sukoharjo,2021,41.42
228,3312 Kabupaten Wonogiri,2021,38.63
229,3313 Kabupaten Karanganyar,2021,38.41
230,3314 Kabupaten Sragen,2021,37.15
231,3315 Kabupaten Grobogan,2021,25.85
232,3316 Kabupaten Blora,2021,34.21
233,3317 Kabupaten Rembang,2021,31.92
234,3318 Kabupaten Pati,2021,31.64
235,3319 Kabupaten Kudus,2021,41.45
236,3320 Kabupaten Jepara,2021,24.08
237,3321 Kabupaten Demak,2021,37.83
238,3322 Kabupaten Semarang,2021,46.19
239,3323 Kabupaten Temanggung,2021,41.19
240,3324 Kabupaten Kendal,2021,35.35
241,3325 Kabupaten Batang,2021,28.92
242,3326 Kabupaten Pekalongan,2021,25.79
243,3327 Kabupaten Pemalang,2021,35.59
244,3328 Kabupaten Tegal,2021,29.09
245,3329 Kabupaten Brebes,2021,25.35
246,3371 Kota Magelang,2021,42.15
247,3372 Kota Surakarta,2021,43.57
248,3373 Kota Salatiga,2021,41.08
249,3374 Kota Semarang,2021,37.46
250,3375 Kota Pekalongan,2021,28.21
251,3376 Kota Tegal,2021,30.19
252,3300 PROVINSI JAWA TENGAH,2022,34.59
253,3301 Kabupaten Cilacap,2022,26.48
254,3302 Kabupaten Banyumas,2022,31.4
255,3303 Kabupaten Purbalingga,2022,29.76
