,Kabupaten / Kota,Tahun,Perempuan Tenaga Profesional
170,3321 Kabupaten Demak,2019,53.15
171,3322 Kabupaten Semarang,2019,45.59
172,3323 Kabupaten Temanggung,2019,50.78
173,3324 Kabupaten Kendal,2019,48.2
174,3325 Kabupaten Batang,2019,52.98
175,3326 Kabupaten Pekalongan,2019,47.31
176,3327 Kabupaten Pemalang,2019,49.16
177,3328 Kabupaten Tegal,2019,50.45
178,3329 Kabupaten Brebes,2019,47.1
179,3371 Kota Magelang,2019,52.51
180,3372 Kota Surakarta,2019,50.89
181,3373 Kota Salatiga,2019,48.3
182,3374 Kota Semarang,2019,51.22
183,3375 Kota Pekalongan,2019,55.43
184,3376 Kota Tegal,2019,58.36
186,3300 PROVINSI JAWA TENGAH,2020,50.2
187,3301 Kabupaten Cilacap,2020,43.97
188,3302 Kabupaten Banyumas,2020,49.87
189,3303 Kabupaten Purbalingga,2020,45.96
190,3304 Kabupaten Banjarnegara,2020,49.42
191,3305 Kabupaten Kebumen,2020,54.2
192,3306 Kabupaten Purworejo,2020,51.86
193,3307 Kabupaten Wonosobo,2020,45.64
194,3308 Kabupaten Magelang,2020,53.96
195,3309 Kabupaten Boyolali,2020,48.14
196,3310 Kabupaten Klaten,2020,60.72
197,3311 Kabupaten Sukoharjo,2020,54.28
198,3312 Kabupaten Wonogiri,2020,44.76
199,3313 Kabupaten Karanganyar,2020,55.2
200,3314 Kabupaten Sragen,2020,48.95
201,3315 Kabupaten Grobogan,2020,44.13
202,3316 Kabupaten Blora,2020,45.43
203,3317 Kabupaten Rembang,2020,47.13
204,3318 Kabupaten Pati,2020,48.95
205,3319 Kabupaten Kudus,2020,51.58
206,3320 Kabupaten Jepara,2020,45.31
207,3321 Kabupaten Demak,2020,54.55
208,3322 Kabupaten Semarang,2020,48.28
209,3323 Kabupaten Temanggung,2020,52.69
210,3324 Kabupaten Kendal,2020,46.1
211,3325 Kabupaten Batang,2020,47.93
212,3326 Kabupaten Pekalongan,2020,50.65
213,3327 Kabupaten Pemalang,2020,50.51
214,3328 Kabupaten Tegal,2020,45.41
215,3329 Kabupaten Brebes,2020,52.75
216,3371 Kota Magelang,2020,55.07
217,3372 Kota Surakarta,2020,51.06
218,3373 Kota Salatiga,2020,48.8
219,3374 Kota Semarang,2020,51.15
220,3375 Kota Pekalongan,2020,52.64
221,3376 Kota Tegal,2020,55.89
223,3300 PROVINSI JAWA TENGAH,2021,50.67
224,3301 Kabupaten Cilacap,2021,45.69
225,3302 Kabupaten Banyumas,2021,49.32
226,3303 Kabupaten Purbalingga,2021,50.52
227,3304 Kabupaten Banjarnegara,2021,49.92
228,3305 Kabupaten Kebumen,2021,56.09
229,3306 Kabupaten Purworejo,2021,53.44
230,3307 Kabupaten Wonosobo,2021,47.67
231,3308 Kabupaten Magelang,2021,55.63
232,3309 Kabupaten Boyolali,2021,48.58
233,3310 Kabupaten Klaten,2021,58.46
234,3311 Kabupaten Sukoharjo,2021,58.12
235,3312 Kabupaten Wonogiri,2021,48.31
236,3313 Kabupaten Karanganyar,2021,51.13
237,3314 Kabupaten Sragen,2021,53.94
238,3315 Kabupaten Grobogan,2021,50.18
239,3316 Kabupaten Blora,2021,48.48
240,3317 Kabupaten Rembang,2021,51.39
241,3318 Kabupaten Pati,2021,44.94
242,3319 Kabupaten Kudus,2021,49.67
243,3320 Kabupaten Jepara,2021,50.57
244,3321 Kabupaten Demak,2021,48.85
245,3322 Kabupaten Semarang,2021,46.64
246,3323 Kabupaten Temanggung,2021,48.14
247,3324 Kabupaten Kendal,2021,55.07
248,3325 Kabupaten Batang,2021,45.76
249,3326 Kabupaten Pekalongan,2021,49.29
250,3327 Kabupaten Pemalang,2021,49.4
251,3328 Kabupaten Tegal,2021,45.64
252,3329 Kabupaten Brebes,2021,49.33
253,3371 Kota Magelang,2021,59.89
254,3372 Kota Surakarta,2021,49.78
255,3373 Kota Salatiga,2021,48.61
256,3374 Kota Semarang,2021,51.3
257,3375 Kota Pekalongan,2021,50.9
258,3376 Kota Tegal,2021,58.61
260,3300 PROVINSI JAWA TENGAH,2022,50.72
261,3301 Kabupaten Cilacap,2022,55.57
262,3302 Kabupaten Banyumas,2022,49.49
263,3303 Kabupaten Purbalingga,2022,60.21
264,3304 Kabupaten Banjarnegara,2022,47.46
265,3305 Kabupaten Kebumen,2022,57.01
266,3306 Kabupaten Purworejo,2022,46.81
267,3307 Kabupaten Wonosobo,2022,49.89
268,3308 Kabupaten Magelang,2022,57.5
269,3309 Kabupaten Boyolali,2022,54.53
270,3310 Kabupaten Klaten,2022,55.05
271,3311 Kabupaten Sukoharjo,2022,52.48
272,3312 Kabupaten Wonogiri,2022,52.39
273,3313 Kabupaten Karanganyar,2022,48.2
274,3314 Kabupaten Sragen,2022,57.27
275,3315 Kabupaten Grobogan,2022,45.97
276,3316 Kabupaten Blora,2022,49.24
277,3317 Kabupaten Rembang,2022,46.59
278,3318 Kabupaten Pati,2022,52.77
279,3319 Kabupaten Kudus,2022,47.26
280,3320 Kabupaten Jepara,2022,53.07
281,3321 Kabupaten Demak,2022,45.66
282,3322 Kabupaten Semarang,2022,46.59
283,3323 Kabupaten Temanggung,2022,47.88
284,3324 Kabupaten Kendal,2022,52.29
285,3325 Kabupaten Batang,2022,48.68
286,3326 Kabupaten Pekalongan,2022,48.03
287,3327 Kabupaten Pemalang,2022,43.09
288,3328 Kabupaten Tegal,2022,50.87
289,3329 Kabupaten Brebes,2022,45.27
290,3371 Kota Magelang,2022,46.81
