,Kabupaten / Kota,Tahun,Pendapatan Perempuan
315,3318 Kabupaten Pati,2023,31.67
316,3319 Kabupaten Kudus,2023,41.87
317,3320 Kabupaten Jepara,2023,24.05
318,3321 Kabupaten Demak,2023,38.32
319,3322 Kabupaten Semarang,2023,47.36
320,3323 Kabupaten Temanggung,2023,41.76
321,3324 Kabupaten Kendal,2023,34.54
322,3325 Kabupaten Batang,2023,28.36
323,3326 Kabupaten Pekalongan,2023,25.82
324,3327 Kabupaten Pemalang,2023,34.77
325,3328 Kabupaten Tegal,2023,30.01
326,3329 Kabupaten Brebes,2023,25.17
327,3371 Kota Magelang,2023,42.42
328,3372 Kota Surakarta,2023,45.55
329,3373 Kota Salatiga,2023,41.65
330,3374 Kota Semarang,2023,37.93
331,3375 Kota Pekalongan,2023,28.56
332,3376 Kota Tegal,2023,30.73
